was/VBD	(root,1) (was,1) (VBD,1) 
however/RB	(NN,1) (however,1) (RB,1) (advmod,1) (brought,1) (root,1) (VBD,1) (concert,1) (nsubj,1) 
arms/NNS	(NNS,1) (nmod:with,1) (root,1) (have,1) (arms,1) (VB,2) (stand,1) (xcomp,1) 
_/NN	(NN,2) (root,1) (leido,1) (compound,1) (_,1) 
kina/NN	(NN,2) (kina,1) (VBP,1) (root,1) (maggie,1) (ma-involve,1) (VB,1) (dobj,1) (compound,1) (xcomp,1) (ba,1) 
am/VBP	(FW,1) (VBP,2) (cop,1) (root,1) (feel,1) (i,1) (nsubj,1) (am,1) 
understand/VB	(root,1) (understand,1) (VB,1) 
dont/NN	(NN,2) (VBP,1) (nmod:of,1) (root,1) (have,1) (copy,1) (nsubj,1) (dont,1) 
masolusyunan/NN	(NN,1) (ko,1) (VBP,1) (root,1) (dobj,1) (masolusyunan,1) 
use/NN	(NN,2) (poison,1) (use,1) (root,1) (dep,1) 
right/RB	(RB,1) (advmod,1) (unfolding,1) (root,1) (VBG,1) (right,1) 
walang/VB	(NN,1) (walang,1) (marie,1) (root,1) (VBD,1) (rose,1) (VB,1) (appos,1) (xcomp,1) 
lang/NN	(NN,1) (VBP,1) (root,1) (lang,1) (dobj,1) (sa,1) 
pagkuha/NN	(NN,1) (ko,1) (pagkuha,1) (VBP,1) (VB,1) (compound,1) (xcomp,1) (dep,1) (NNP,1) (Isa,1) (root,1) (VBG,1) (nakipagsapalaran,1) (nsubj,1) (pang,1) 
name/NN	(NN,1) (VBP,1) (root,1) (name,1) (e.,1) (nsubj,1) 
lots/NNS	(NN,2) (lots,1) (NNS,1) (poison,1) (nmod:of,1) (use,1) (root,1) (dep,1) 
landas/NNS	(NN,1) (NNS,1) (karaniwang,1) (root,1) (landas,1) (VBD,1) (VBG,1) (ang,1) (acl,1) (nsubj,1) (dobj,1) (bayad,1) 
actually/VBZ	(RB,1) (NN,1) (actually,1) (need,1) (root,1) (parataxis,1) (dep,1) (Just,1) (VBZ,1) 
masarap/NN	(NN,2) (masarap,1) (NNP,1) (root,1) (compound,1) (Basta,1) (appos,1) (pakiramdam,1) 
made/VBD	(NN,1) (acl:relcl,1) (movie,1) (made,1) (root,1) (VBD,1) 
parang/NN	(NN,2) (parang,1) (root,1) (bading,1) (compound,1) 
concert/NN	(NN,1) (brought,1) (root,1) (VBD,1) (concert,1) (nsubj,1) 
pag/NN	(NN,1) (nmod:at,1) (itong,1) (root,1) (pag,1) (VBG,1) 
grumaduate/JJ	(JJ,1) (ko,1) (VBP,1) (VB,1) (amod,1) (xcomp,1) (dep,1) (NNP,1) (Isa,1) (root,1) (grumaduate,1) (VBG,1) (nakipagsapalaran,1) (nsubj,1) (pang,1) 
Everybody/NN	(NN,1) (root,1) (wears,1) (Everybody,1) (nsubj,1) (VBZ,1) 
sleep/VB	(sleep,1) (wanted,1) (root,1) (VBD,1) (VB,1) (xcomp,1) 
get/VB	(get,1) (root,1) (VB,1) 
Imagine/SYM	(NN,1) (SYM,1) (root,1) (Imagine,1) (commitment,1) (dep,1) 
her/PRP$	(NN,1) (brought,1) (PRP$,1) (nmod:poss,1) (her,1) (root,1) (VBD,1) (concert,1) (nsubj,1) 
taon/NN	(NN,1) (nagisang,1) (VBP,1) (root,1) (VBG,1) (advcl,1) (taon,1) (aso,1) (dobj,1) 
Ilan/JJ	(JJ,2) (NNP,1) (Ilan,1) (ko,1) (VBP,1) (di,1) (root,1) (nsubj,1) (lang,1) (amod,2) 
imagined/VBD	(root,1) (VBD,1) (imagined,1) 
puso/NN	(NN,1) (NNP,1) (VBP,1) (puso,1) (root,1) (pag,1) (nsubj,1) (compound,1) (sa,1) 
Then/RB	(RB,1) (advmod,1) (VBP,1) (root,1) (feel,1) (I,1) (Then,1) (nsubj,1) (PRP,1) 
opinyon/NN	(NN,2) (root,1) (bading,1) (compound,1) (opinyon,1) 
For/IN	(IN,1) (root,1) (understand,1) (For,1) (VB,1) (dep,1) 
12:58:30/CD	(NNP,1) (CD,2) (12:58:30,1) (root,1) (leido,1) (PM,1) (compound,1) (dep,1) 
Avenue/NNP	(NNP,1) (VBP,1) (root,1) (Avenue,1) (VB,1) (dobj,1) (sa,2) (xcomp,1) 
us/PRP	(NNS,1) (root,1) (games,1) (nmod:for,1) (us,1) (PRP,1) 
favor/NN	(NN,1) (NNP,1) (favor,1) (Mantra,1) (root,1) (parataxis,1) (do,1) (VB,1) (xcomp,1) 
pag/NNP	(NNP,1) (VBP,1) (root,1) (pag,1) (nsubj,1) (sa,1) 
din/NN	(NN,1) (VBP,1) (root,1) (din,1) (aso,1) (nsubj,1) 
banana/NN	(Take,1) (banana,1) (NN,1) (!!!,1) (NNS,1) (root,1) (say,1) (conj:and,1) (VB,2) (dobj,1) (compound,1) 
tinakbo/NN	(NN,2) (VBP,1) (root,1) (ang,1) (tinakbo,1) (dobj,1) (compound,1) (pelikula,1) 
minds/NNS	(manifestations,1) (minds,1) (NNS,3) (nmod:poss,1) (nmod:of,1) (root,1) (desires,1) 
tommorow/NN	(NN,2) (tommorow,1) (root,1) (leido,1) (dep,1) 
three/CD	(CD,1) (NNS,1) (weeks,1) (last,1) (VBP,1) (nummod,1) (root,1) (nmod:for,1) (three,1) 
rose/VBD	(NN,1) (marie,1) (root,1) (VBD,1) (rose,1) (appos,1) 
i/RB	(RB,1) (advmod,1) (find,1) (root,1) (i,1) (VB,1) 
paki/NNS	(NNS,1) (VBP,1) (root,1) (nga,1) (paki,1) (dobj,1) 
as/IN	(as,1) (VBP,1) (IN,1) (root,1) (have,1) (mark,1) 
zoster/NN	(NN,1) (zoster,1) (get,1) (root,1) (VB,1) (dobj,1) 
performs/VBZ	(NN,1) (JJ,1) (performs,1) (root,1) (leido,1) (advcl,1) (amod,1) (good,1) (VBZ,1) 
u/NN	(NN,2) (poison,1) (u,1) (root,1) (compound,1) 
_/NNP	(NNP,2) (root,1) (leido,1) (compound,1) (_,1) 
bayad/VBD	(root,1) (VBD,1) (bayad,1) 
offline/JJ	(JJ,1) (offline,1) (root,1) 
want/VBP	(ccomp,1) (VBP,1) (root,1) (want,1) (makes,1) (VBZ,1) 
happiness/NN	(NN,2) (happiness,1) (nmod:of,1) (root,1) (feeling,1) 
Hindi/NNP	(NNP,1) (ko,1) (VBP,1) (root,1) (Hindi,1) (nsubj,1) 
stand/VB	(root,1) (have,1) (VB,2) (stand,1) (xcomp,1) 
12:59:05/CD	(NNP,1) (CD,2) (root,1) (leido,1) (PM,1) (12:59:05,1) (compound,1) (dep,1) 
manual/JJ	(JJ,1) (ccomp,1) (VBP,2) (murang,1) (root,1) (ng,1) (VBG,1) (manual,1) (sa,1) (xcomp,2) 
pelikula/NN	(NN,1) (VBP,1) (root,1) (ang,1) (dobj,1) (pelikula,1) 
mocha/NN	(NN,2) (checking,1) (mocha,1) (imagined,1) (compound,1) (xcomp,1) (sipping,1) (joy,1) (root,1) (VBD,1) (VBG,2) (advcl,1) (dobj,1) 
exist/VBP	(exist,1) (VBP,1) (root,1) 
when/WRB	(WRB,1) (root,1) (takes,1) (when,1) (dep,1) (VBZ,1) 
pang/VBG	(ko,1) (VBP,1) (root,1) (VBG,1) (nakipagsapalaran,1) (VB,1) (xcomp,1) (pang,1) (dep,1) 
both/DT	(JJ,1) (DT,1) (offline,1) (root,1) (nsubj,1) (both,1) 
eating/VBG	(im,1) (root,1) (VBG,1) (VB,1) (eating,1) (xcomp,1) 
willingly/NN	(NN,1) (root,1) (takes,1) (dobj,1) (VBZ,1) (willingly,1) 
yup/NN	(NN,1) (NNP,1) (yup,1) (root,1) (leido,1) (compound,1) 
date/NN	(date,1) (NN,1) (turned,1) (root,1) (VBD,1) (xcomp,1) 
Ganun/NNP	(NN,1) (NNP,1) (root,1) (VBD,1) (ang,1) (Ganun,1) (nsubj,1) (compound,1) (bayad,1) 
where/WRB	(advmod,1) (ccomp,1) (VBP,1) (WRB,1) (root,1) (want,1) (makes,1) (where,1) (VBZ,1) 
much/JJ	(NN,1) (JJ,1) (root,1) (was,1) (VBD,1) (nsubj,1) (amod,1) (blood,1) (much,1) 
ang/NN	(NN,1) (root,1) (VBD,1) (ang,1) (nsubj,1) (bayad,1) 
nakasakay/RB	(nakasakay,1) (RB,1) (advmod,1) (VBP,1) (root,1) (VB,1) (sa,2) (xcomp,1) 
best/JJS	(JJS,1) (root,1) (try,1) (best,1) (VB,1) (dobj,1) 
blessings/NNS	(NNS,1) (ccomp,1) (appreciate,1) (blessings,1) (root,1) (VB,2) (dobj,1) (make,1) 
strength/NN	(NN,2) (JJ,1) (strength,1) (root,1) (lies,1) (leido,1) (advcl,1) (amod,1) (dobj,1) (good,1) (VBZ,1) 
that/IN	(that,1) (VBN,1) (ccomp,1) (VBP,1) (IN,1) (root,1) (won,1) (feel,1) (mark,1) 
12:59:06/CD	(NNP,1) (CD,2) (root,1) (leido,1) (12:59:06,1) (PM,1) (compound,1) (dep,1) 
ang/VBP	(VBP,1) (root,1) (ang,1) 
no/DT	(NN,1) (DT,1) (no,1) (neg,1) (root,1) (commitment,1) 
while/NN	(NN,1) (root,1) (while,1) 
alls/NNS	(NN,1) (NNS,1) (root,1) (leido,1) (dep,1) (alls,1) 
weird/JJ	(NN,1) (movies,1) (JJ,1) (weird,1) (NNS,1) (root,1) (nmod:for,1) (amod,1) (benchmark,1) 
unfortunately/RB	(JJ,1) (RB,1) (offline,1) (advmod,1) (root,1) (unfortunately,1) 
end/NN	(exist,1) (JJ,1) (NN,1) (VBP,1) (root,1) (nmod:to,1) (end,1) (alright,1) (xcomp,1) 
accomplish/VB	(NN,1) (nmod:at,1) (accomplish,1) (get,1) (root,1) (time,1) (acl,1) (VB,2) 
dont/JJ	(NN,1) (JJ,1) (root,1) (leido,1) (amod,1) (dont,1) 
5-hour/JJ	(date,1) (NN,1) (JJ,1) (turned,1) (root,1) (5-hour,1) (VBD,1) (amod,1) (xcomp,1) 
lang/JJ	(JJ,1) (NNP,1) (ko,1) (VBP,1) (di,1) (root,1) (nsubj,1) (lang,1) (amod,1) 
sales/NNS	(JJ,1) (NNS,1) (ccomp,1) (root,1) (VB,1) (nmod:for,1) (easy,1) (look,1) (sales,1) 
time/NN	(NN,1) (nmod:at,1) (get,1) (root,1) (time,1) (VB,1) 
these/DT	(NN,1) (these,1) (DT,1) (det,1) (root,1) (while,1) 
after/IN	(manifestations,1) (JJ,1) (acl:relcl,1) (all,1) (DT,1) (NNS,1) (nmod:after,1) (IN,1) (root,1) (true,1) (after,1) (case,1) 
ba/VBP	(VBP,1) (root,1) (ba,1) 
Nakakawiling/VBG	(NN,1) (VBP,1) (root,1) (pumunta,1) (Nakakawiling,1) (VBG,1) (nsubj,1) (amod,1) (sa,1) 
boring/VBG	(NN,1) (boring,1) (PRP$,1) (im,1) (root,1) (its,1) (VBG,1) (acl,1) (appos,1) 
remebr/NN	(NN,2) (remebr,1) (root,1) (leido,1) (compound,1) 
remembering/VBG	(csubj,1) (root,1) (remembering,1) (makes,1) (VBG,1) (VBZ,1) 
dinner/NN	(date,1) (NN,2) (turned,1) (root,1) (VBD,1) (dinner,1) (compound,1) (xcomp,1) 
oo/NN	(NN,3) (oo,1) (pero,1) (marie,1) (root,1) (VBD,1) (rose,1) (nsubj,1) (compound,1) (appos,1) 
now/RB	(susunod,1) (RB,2) (advmod,2) (EX,1) (root,1) (there,1) (now,1) (VB,1) (so,1) (xcomp,1) 
manila/NN	(NN,2) (brought,1) (root,1) (VBD,1) (concert,1) (nsubj,1) (compound,1) (manila,1) 
list/NN	(NN,1) (root,1) (list,1) 
kaya/NN	(NN,1) (itong,1) (root,1) (VBG,1) (kaya,1) (nsubj,1) 
sem/NN	(NN,1) (driving,1) (nmod:by,1) (root,1) (VBG,1) (sem,1) 
Over/IN	(JJ,1) (NN,1) (Over,1) (spending,1) (IN,1) (root,1) (easy,1) (case,1) (nmod:over,1) 
possible/JJ	(JJ,2) (ccomp,1) (root,1) (save,1) (advcl,1) (possible,1) (VB,1) (easy,1) 
it/PRP	(ccomp,1) (VBP,1) (root,1) (want,1) (makes,1) (it,1) (dobj,1) (VBZ,1) (PRP,1) 
nilibing/VBG	(NN,1) (root,1) (nilibing,1) (kase,1) (VBG,1) (appos,1) 
yan/NN	(NN,1) (NNP,1) (ko,1) (VBP,1) (di,1) (root,1) (yan,1) (nsubj,1) (compound,1) 
ask/VB	(expect,1) (root,1) (ask,1) (conj:and,1) (VB,2) 
makes/VBZ	(root,1) (makes,1) (VBZ,1) 
inakala/NN	(NN,1) (ko,1) (VBP,1) (inakala,1) (VB,1) (compound,1) (xcomp,1) (dep,1) (NNP,1) (Isa,1) (root,1) (VBG,1) (nakipagsapalaran,1) (nsubj,1) (pang,1) 
spending/NN	(JJ,1) (NN,1) (spending,1) (root,1) (easy,1) (nmod:over,1) 
note/NN	(NN,1) (note,1) (root,1) (makes,1) (dobj,1) (VBZ,1) 
coming/VBG	(NN,2) (VBN,1) (middle,1) (week,1) (VBP,1) (nmod:by,1) (nmod:of,1) (settled,1) (amod,1) (dep,1) (NNS,1) (root,1) (have,1) (hopes,1) (VBG,1) (dobj,1) (coming,1) 
of/IN	(NN,1) (NNS,1) (nmod:of,1) (IN,1) (root,1) (of,1) (resolutions,1) (list,1) (case,1) 
million/CD	(NN,1) (CD,1) (million,1) (nummod,1) (taghorjix,1) (root,1) 
In/IN	(NN,1) (grow,1) (VBP,2) (In,1) (IN,1) (feel,1) (VB,1) (xcomp,1) (wisdom,1) (help,1) (nmod:in,1) (root,1) (advcl,1) (case,1) 
12:59:42/CD	(NNP,1) (CD,2) (12:59:42,1) (root,1) (leido,1) (PM,1) (compound,1) (dep,1) 
them/PRP	(manifestations,1) (JJ,1) (acl:relcl,1) (all,1) (DT,1) (NNS,1) (nmod:after,1) (nmod:of,1) (root,1) (true,1) (them,1) (PRP,1) 
//NNP	(susunod,1) (,2) (root,1) (VB,1) (nsubj,1) 
walk/VB	(NN,1) (expect,1) (someone,1) (root,1) (advcl,1) (conj:and,1) (VB,2) (walk,1) 
think/VBP	(acl:relcl,1) (FW,1) (think,1) (VBP,2) (root,1) (feel,1) (i,1) (nsubj,1) 
mukang/VBG	(NN,2) (mukang,1) (root,1) (VBG,2) (advcl,1) (taong,1) (acl,1) (bading,1) (compound,1) (sa,1) 
on/RP	(compound:prt,1) (nmod:of,1) (going,1) (acl,1) (updates,1) (NNS,2) (whats,1) (writing,1) (root,1) (VBG,2) (dobj,1) (RP,1) (on,1) 
tip-toed/JJ	(JJ,1) (root,1) (have,1) (tip-toed,1) (VB,2) (stand,1) (xcomp,2) 
school/NN	(NN,1) (driving,1) (school,1) (root,1) (nmod:to,1) (VBG,1) 
movies/NNS	(NN,1) (movies,1) (NNS,1) (root,1) (nmod:for,1) (benchmark,1) 
Amen/NN	(NN,1) (safer,1) (root,1) (Amen,1) (dobj,1) (VBZ,1) 
grace/NN	(NN,1) (help,1) (grow,1) (nmod:in,1) (VBP,2) (root,1) (grace,1) (feel,1) (advcl,1) (VB,1) (xcomp,1) 
mashado/NN	(NN,2) (mashado,1) (VBP,1) (root,1) (maggie,1) (ma-involve,1) (VB,1) (dobj,1) (compound,1) (xcomp,1) (ba,1) 
me/PRP	(root,1) (makes,1) (me,1) (nsubj,1) (VBZ,1) (PRP,1) 
done/VBN	(VBN,1) (root,1) (done,1) 
The/DT	(The,1) (DT,1) (NNS,1) (det,1) (last,1) (VBP,1) (root,1) (nsubj,1) (blisters,1) 
MRT/NNP	(NNP,1) (root,1) (VBD,1) (dobj,1) (MRT,1) (bayad,1) 
mommy/NN	(NN,1) (NNP,1) (nmod:from,1) (ccomp,1) (mommy,1) (root,1) (buying,1) (VBD,1) (VBG,1) (Lush,1) (imagined,1) (nmod:for,1) 
i/NNP	(took,1) (NNP,1) (root,1) (VBD,1) (i,1) (nsubj,1) 
irc/NN	(NN,1) (VBP,1) (root,1) (irc,1) (VB,1) (dobj,1) (sa,2) (xcomp,1) 
kawindangan/NN	(NN,3) (ko,1) (root,1) (kawindangan,1) (bading,1) (compound,2) 
who/WP	(NN,1) (NNS,1) (ref,1) (nmod:of,1) (get,1) (root,1) (WP,1) (VB,1) (nsubj,1) (percent,1) (people,1) (who,1) 
Take/VB	(Take,1) (root,1) (VB,1) 
nagiinit/JJ	(JJ,1) (NNP,1) (VBP,1) (root,1) (pag,1) (nsubj,1) (nagiinit,1) (amod,1) (sa,1) 
situation/NN	(NN,1) (like,1) (VBP,1) (root,1) (dobj,1) (situation,1) 
Quezon/NNP	(NNP,2) (Quezon,1) (VBP,1) (root,1) (Avenue,1) (VB,1) (dobj,1) (compound,1) (sa,2) (xcomp,1) 
lonely/JJ	(JJ,1) (im,1) (root,1) (VB,1) (lonely,1) (dobj,1) 
lies/VBZ	(NN,1) (JJ,1) (root,1) (lies,1) (leido,1) (advcl,1) (amod,1) (good,1) (VBZ,1) 
god/NN	(NN,3) (RB,1) (VBP,1) (tommorow,1) (yes,1) (root,1) (leido,1) (dobj,1) (ur,1) (god,1) (dep,3) 
u/RB	(RB,1) (advmod,1) (NNS,1) (JJR,1) (u,1) (more,1) (root,1) (games,1) (amod,1) 
connections/NNS	(NNS,1) (VBP,1) (root,1) (have,1) (nmod:for,1) (connections,1) 
1:38:07/CD	(1:38:07,1) (NNP,1) (CD,2) (root,1) (leido,1) (PM,1) (compound,1) (dep,1) 
nga/VBP	(VBP,1) (root,1) (nga,1) 
students/NNS	(NN,1) (NNS,1) (performance,1) (nmod:poss,1) (VBP,1) (nmod:about,1) (root,1) (feel,1) (students,1) 
1890/CD	(NN,1) (NNP,1) (CD,1) (root,1) (Gogh,1) (1890,1) (list,1) (nsubj,1) (dep,1) 
sa/VBP	(VBP,1) (root,1) (sa,1) 
Thanks/NNS	(NNS,1) (root,1) (Thanks,1) (VBD,1) (received,1) (nsubj,1) 
mid-year/JJ	(NN,1) (JJ,1) (NNS,1) (nmod:of,1) (root,1) (mid-year,1) (resolutions,1) (list,1) (amod,1) 
copy/NN	(NN,1) (VBP,1) (root,1) (have,1) (copy,1) (nsubj,1) 
12:58:13/CD	(NNP,1) (CD,2) (root,1) (leido,1) (PM,1) (compound,1) (dep,1) (12:58:13,1) 
can/MD	(NNP,1) (can,1) (aux,1) (Mantra,1) (root,1) (MD,1) (parataxis,1) (do,1) (VB,1) 
lahat/NN	(NN,2) (root,1) (lahat,1) (bading,1) (compound,1) 
pakiramdam/NN	(NN,1) (NNP,1) (root,1) (Basta,1) (appos,1) (pakiramdam,1) 
manifestations/NNS	(manifestations,1) (NNS,1) (root,1) 
detail/NN	(NN,2) (remember,1) (hoping,1) (ccomp,2) (im,1) (root,1) (VBG,1) (come,1) (acl,1) (detail,1) (VB,2) (dobj,1) 
slowly/RB	(RB,1) (advmod,1) (unfolding,1) (root,1) (VBG,1) (slowly,1) 
station/NN	(NN,1) (VBP,1) (acl,1) (VB,1) (sa,2) (xcomp,1) (NNP,1) (root,1) (Avenue,1) (station,1) (papuntang,1) (VBG,1) (dobj,2) 
or/CC	(CC,1) (cc,1) (NNS,1) (or,1) (VBP,1) (root,1) (have,1) (nmod:for,1) (affairs,1) 
high/JJ	(JJ,1) (NNS,1) (high,1) (VBP,1) (root,1) (have,1) (hopes,1) (dobj,1) (amod,1) 
there/EX	(susunod,1) (EX,1) (root,1) (there,1) (VB,1) (xcomp,1) 
kung/VBG	(NN,1) (kung,1) (ano,1) (ko,1) (VBP,1) (root,1) (VBG,1) (lang,1) (VB,1) (dobj,1) (amod,1) (xcomp,1) 
aperture/JJ	(JJ,1) (aperture,1) (WRB,1) (root,1) (takes,1) (when,1) (dep,2) (VBZ,1) 
about/IN	(NN,1) (performance,1) (VBP,1) (IN,1) (nmod:about,1) (root,1) (about,1) (feel,1) (case,1) 
satan/NN	(NN,2) (satan,1) (taghorjix,1) (root,1) (compound,1) 
always/RB	(manifestations,1) (JJ,1) (acl:relcl,1) (always,1) (RB,1) (advmod,1) (NNS,1) (root,1) (true,1) 
this/DT	(NN,1) (DT,1) (det,1) (movie,1) (root,1) (this,1) 
yes/RB	(NN,2) (RB,1) (tommorow,1) (yes,1) (root,1) (leido,1) (dep,2) 
So/RB	(NN,1) (RB,1) (advmod,1) (root,1) (list,1) (So,1) 
tinahak/VB	(NN,1) (tinahak,1) (karaniwang,1) (root,1) (VBD,1) (VBG,1) (advcl,1) (ang,1) (acl,1) (nsubj,1) (VB,1) (bayad,1) 
There/EX	(expl,1) (EX,1) (There,1) (root,1) ('s,1) (VBZ,1) 
well-crafted/JJ	(NN,1) (JJ,1) (movie,1) (well-crafted,1) (root,1) (amod,1) 
writing/VBG	(writing,1) (root,1) (VBG,1) 
12:59:18/CD	(NNP,1) (CD,2) (root,1) (leido,1) (12:59:18,1) (PM,1) (compound,1) (dep,1) 
be/VB	(NN,1) (be,1) (cop,1) (root,1) (VB,1) (benchmark,1) 
tony/JJ	(NN,2) (JJ,1) (nmod:at,1) (VBP,1) (acl,1) (VB,1) (amod,1) (xcomp,1) (tony,1) (leung,1) (root,1) (maggie,1) (cheung,1) (ma-involve,1) (VBG,1) (dobj,1) (ba,1) 
na/TO	(na,1) (ko,1) (VBP,1) (root,1) (TO,1) (lang,1) (VB,1) (xcomp,1) (mark,1) 
confirm/VB	(JJ,1) (confirm,1) (able,1) (root,1) (VB,1) (xcomp,1) 
marie/NN	(NN,1) (marie,1) (root,1) 
what/WDT	(exist,1) (JJ,1) (NN,1) (det,1) (what,1) (VBP,1) (WDT,1) (root,1) (nmod:to,1) (end,1) (alright,1) (xcomp,1) 
'/POS	(NN,1) (NNS,1) (performance,1) (nmod:poss,1) (VBP,1) (POS,1) (nmod:about,1) (root,1) (',1) (feel,1) (students,1) (case,1) 
pero/NN	(NN,2) (pero,1) (marie,1) (root,1) (VBD,1) (rose,1) (nsubj,1) (appos,1) 
context/NN	(NN,1) (csubj,1) (root,1) (remembering,1) (makes,1) (context,1) (VBG,1) (dobj,1) (VBZ,1) 
sud/NN	(NN,2) (sud,1) (poison,1) (root,1) (dep,1) 
hehehe/JJ	(NN,1) (JJ,1) (NNP,1) (root,1) (leido,1) (amod,1) (compound,1) (jack,1) (hehehe,1) 
their/PRP$	(NNS,1) (PRP$,1) (nmod:poss,1) (lives,1) (get,1) (root,1) (nmod:during,1) (their,1) (VB,1) 
pang/JJ	(susunod,1) (JJ,1) (NNS,1) (EX,1) (------------,1) (root,1) (there,1) (VB,1) (amod,1) (xcomp,1) (dep,1) (pang,1) 
iba/NN	(NN,2) (root,1) (iba,1) (bading,1) (compound,1) 
dreams/NNS	(manifestations,1) (NNS,2) (root,1) (dreams,1) (nsubj,1) 
teach/VB	(expect,1) (root,1) (teach,1) (ask,1) (conj:and,1) (VB,3) (xcomp,1) 
This/DT	(NN,1) (DT,1) (movie,1) (root,1) (This,1) (nsubj,1) 
=-RRB-/RB	(RB,1) (advmod,1) (=-RRB-,1) (VBP,1) (root,1) (feel,1) 
able/JJ	(JJ,1) (able,1) (root,1) 
leung/NN	(NN,2) (nmod:at,1) (VBP,1) (acl,1) (VB,1) (xcomp,1) (leung,1) (root,1) (maggie,1) (cheung,1) (ma-involve,1) (VBG,1) (dobj,1) (ba,1) 
di/NNP	(NNP,1) (ko,1) (VBP,1) (di,1) (root,1) (nsubj,1) 
e./VBP	(VBP,1) (root,1) (e.,1) 
lang/VB	(ko,1) (VBP,1) (root,1) (lang,1) (VB,1) (xcomp,1) 
bading/NN	(NN,1) (root,1) (bading,1) 
front/NN	(love,1) (NN,2) (VBN,1) (nmod:with,1) (in,1) (IN,1) (root,1) (mwe,1) (front,1) (done,1) (case,1) 
im/VB	(im,1) (root,1) (VB,1) 
alive/JJ	(NN,1) (JJ,1) (alive,1) (taghorjix,1) (root,1) (amod,1) 
tulad/JJ	(NN,1) (JJ,1) (VBP,1) (root,1) (tulad,1) (ng,1) (nsubj,1) (amod,1) (sa,1) 
well/RB	(RB,1) (advmod,1) (VBN,1) (root,1) (well,1) (done,1) 
karaniwang/VBG	(NN,1) (karaniwang,1) (root,1) (VBD,1) (VBG,1) (ang,1) (acl,1) (nsubj,1) (bayad,1) 
SLR/VB	(JJ,1) (ccomp,1) (VBP,2) (murang,1) (root,1) (SLR,1) (ng,1) (VBG,1) (manual,1) (VB,1) (sa,1) (xcomp,3) 
feeling/NN	(NN,1) (root,1) (feeling,1) 
finish/VB	(VBN,1) (root,1) (supposed,1) (go,1) (finish,1) (advcl,1) (VB,2) (xcomp,1) 
direction/NN	(NN,2) (nmod:of,1) (unfolding,1) (root,1) (VBG,1) (sense,1) (nsubj,1) (direction,1) 
say/VB	(Take,1) (root,1) (say,1) (conj:and,1) (VB,2) 
definitely/RB	(RB,1) (advmod,1) (definitely,1) (root,1) (VB,1) (make,1) 
And/CC	(CC,1) (cc,1) (VBP,1) (And,1) (root,1) (feel,1) 
buying/VBG	(ccomp,1) (root,1) (buying,1) (VBD,1) (VBG,1) (imagined,1) 
if/IN	(IN,1) (root,1) (VB,1) (make,1) (if,1) (mark,1) 
Mantra/NNP	(NNP,1) (Mantra,1) (root,1) 
dire/JJ	(RB,1) (NN,1) (JJ,1) (need,1) (root,1) (dire,1) (amod,1) (dep,1) (Just,1) 
saan/JJ	(NN,1) (JJ,1) (ano,1) (ko,1) (VBP,1) (VB,1) (amod,2) (makakabili,1) (xcomp,1) (saan,1) (kung,1) (NNS,1) (root,1) (VBG,1) (lang,1) (dobj,2) 
breath/NN	(Take,1) (breath,1) (NN,1) (root,1) (VB,1) (dobj,1) 
feelings/NNS	(JJ,1) (confirm,1) (NNS,1) (able,1) (root,1) (VB,1) (dobj,1) (feelings,1) (xcomp,1) 
Just/RB	(RB,1) (root,1) (Just,1) 
other/JJ	(NN,1) (JJ,1) (other,1) (root,1) ('s,1) (nsubj,1) (amod,1) (way,1) (VBZ,1) 
taghorjix/NN	(NN,1) (taghorjix,1) (root,1) 
those/DT	(NN,1) (DT,1) (NNS,1) (det,1) (nmod:of,1) (get,1) (root,1) (VB,1) (nsubj,1) (percent,1) (people,1) (those,1) 
wanted/VBD	(wanted,1) (root,1) (VBD,1) 
that/DT	(NN,1) (DT,1) (that,1) (det,1) (safer,1) (root,1) (Amen,1) (dobj,1) (VBZ,1) 
disappointed/JJ	(JJ,1) (disappointed,1) (VBP,1) (root,1) (feel,1) (xcomp,1) 
park/NN	(NN,1) (VBP,1) (root,1) (VB,1) (nsubj,1) (sa,2) (xcomp,1) (park,1) 
therein/RB	(NN,1) (JJ,1) (RB,1) (advmod,1) (therein,1) (root,1) (lies,1) (leido,1) (advcl,1) (amod,1) (good,1) (VBZ,1) 
attitude/NN	(NN,1) (root,1) (have,1) (VB,1) (dobj,1) (attitude,1) 
Kakahiya/NNP	(NNP,1) (VBP,1) (root,1) (Kakahiya,1) (nga,1) (nsubj,1) 
ur/VBP	(NN,2) (RB,1) (VBP,1) (tommorow,1) (yes,1) (root,1) (leido,1) (ur,1) (dep,3) 
family/NN	(RB,1) (NN,2) (actually,1) (need,1) (root,1) (parataxis,1) (family,1) (nsubj,1) (dep,1) (Just,1) (VBZ,1) 
wala/NN	(NN,1) (NNS,1) (VBP,1) (root,1) (wala,1) (nga,1) (paki,1) (dobj,1) (compound,1) 
nangyayari/NN	(NN,2) (root,1) (nangyayari,1) (bading,1) (compound,1) 
To/TO	(root,1) (understand,1) (To,1) (TO,1) (VB,1) (mark,1) 
such/JJ	(JJ,1) (relationships,1) (such,1) (NNS,1) (having,1) (csubj,1) (root,1) (VBG,1) (VB,1) (dobj,1) (amod,1) (make,1) 
id/NN	(NN,1) (like,1) (VBP,1) (root,1) (id,1) (nsubj,1) 
