word/NN	(NN,1) (root,1) (word,1) 
stared/FW	(remember,1) (FW,1) (VBP,2) (root,1) (conj:and,1) (stared,1) (nsubj,1) (bye,1) 
Fossil/NNP	(NNP,2) (VBP,1) (root,1) (Fossil,1) (Fuels,1) (dobj,1) (compound,1) (urlLink,1) 
See/VB	(See,1) (root,1) (VB,1) 
icing/NN	(JJ,1) (NN,1) (nmod:of,1) (root,1) (VBD,1) (dobj,1) (got,1) (icing,1) (full,1) 
kids/NNS	(nmod:at,1) (NNS,1) (looked,1) (root,1) (VBD,2) (got,1) (dep,1) (kids,1) 
screwed/VBN	(screwed,1) (VBN,1) (ccomp,1) (yea,1) (root,1) (VB,1) 
western/JJ	(JJ,1) (NNS,1) (root,1) (pay,1) (western,1) (VB,1) (prices,1) (dobj,1) (amod,1) 
pic/NN	(NN,1) (torture,1) (ccomp,1) (root,1) (VBD,2) (received,1) (pic,1) (VB,1) (nsubj,1) (got,1) (dep,1) 
somewhere/RB	(RB,1) (advmod,1) (VBN,1) (read,1) (VBP,1) (learned,1) (root,1) (advcl,1) (VB,1) (somewhere,1) (xcomp,1) (bye,1) 
new/JJ	(JJ,1) (new,1) (NNS,1) (root,1) (media,1) (amod,1) 
exlicit/NN	(exlicit,1) (NN,1) (NNP,1) (root,1) (wont,1) (parataxis,1) (invite,1) (VB,1) (nsubj,1) (compound,1) (tracks,1) (VBZ,1) 
unificar/VBP	(unificar,1) (VBP,1) (root,1) 
made/VBD	(NN,1) (made,1) (root,1) (VBD,1) (man,1) (dep,1) 
book/NN	(NN,1) (wrote,1) (root,1) (book,1) (VBD,1) (nmod:on,1) 
Gospel/NNP	(NNP,1) (nmod:at,1) (concerts,1) (NNS,1) (told,1) (Gospel,1) (root,1) (VBD,1) (xcomp,1) 
discovered/VBD	(discovered,1) (root,1) (VBD,1) 
reading/VBG	(NNP,1) (root,1) (Policeman,1) (reading,1) (VBG,2) (acl,1) (conj:and,1) (sitting,1) 
get/VB	(get,1) (root,1) (VB,1) 
sits/VBZ	(sits,1) (root,1) (VBZ,1) 
Then/RB	(RB,1) (advmod,1) (root,1) (was,1) (VBD,1) (Then,1) 
America/NNP	(NNP,1) (nmod:in,1) (root,1) (America,1) (VBD,1) (migrate,1) 
en/IN	(NN,2) (que,1) (VBP,1) (IN,1) (yo,1) (root,1) (nmod:en,1) (en,1) (nsubj,1) (algo,1) (case,1) 
bonito/NN	(NN,1) (de,1) (NNP,1) (VBP,1) (root,1) (bonito,1) (parque,1) (nsubj,1) (compound,1) 
label/NN	(NN,1) (root,1) (label,1) 
concerts/NNS	(concerts,1) (NNS,1) (told,1) (root,1) (VBD,1) (xcomp,1) 
walked/VBD	(walked,1) (root,1) (VBD,1) 
us/PRP	(root,1) (creating,1) (VBG,1) (nsubj,1) (irritates,1) (dep,1) (us,1) (VBZ,1) (PRP,1) 
rejecting/VBG	(NN,1) (acl:relcl,1) (Company,1) (set,1) (VBN,1) (rejecting,1) (root,1) (VBG,1) (advcl,1) 
momento/NN	(NN,3) (q,1) (pense,1) (unificar,1) (VBP,1) (root,1) (nmod:en,1) (nsubj,1) (compound,1) (momento,1) 
sugar/NN	(NN,1) (NNS,1) (ate,1) (root,1) (VBD,2) (dobj,1) (got,1) (sugar,1) (compound,1) (dep,1) (packets,1) 
mcdonald/NN	(NN,2) (nmod:of,1) (acl,1) (scks,1) (VBZ,1) (infesting,1) (mcdonald,1) (NNS,1) (root,1) (VBG,1) (bunch,1) (dobj,2) (gringos,1) 
read/VB	(VBN,1) (read,1) (VBP,1) (learned,1) (root,1) (advcl,1) (VB,1) (xcomp,1) (bye,1) 
piss/VBZ	(VBN,1) (VBP,1) (i,1) (acl,1) (VB,1) (piss,1) (VBZ,1) (FW,1) (ccomp,1) (root,1) (blame,1) (know,1) (advcl,1) (nsubj,1) (dont,1) 
'till/NN	(NN,2) (death,1) ('till,1) (received,1) (VB,1) (got,1) (compound,1) (dep,1) (torture,1) (ccomp,1) (root,1) (VBD,2) (dobj,1) 
old/JJ	(NN,1) (JJ,1) (VBP,1) (mean,1) (old,1) (root,1) (dobj,1) (amod,1) (house,1) 
planning/NN	(JJ,1) (NN,1) (planning,1) (sure,1) (ccomp,1) (im,1) (VBP,1) (work,1) (root,1) (VB,1) (dobj,1) (xcomp,1) 
i/RB	(RB,1) (advmod,1) (ccomp,1) (VBP,1) (root,1) (know,1) (i,1) (say,1) (VB,1) 
legs/NNS	(NNS,1) (root,1) (sat,1) (legs,1) (VBD,2) (got,1) (nmod:on,1) (dep,1) 
policemen/NN	(NN,1) (NNP,1) (root,1) (Policeman,1) (VBG,1) (acl,1) (policemen,1) (dobj,1) (sitting,1) 
mix/NN	(listening,1) (NN,1) (aphex,1) (conj:and,1) (VB,4) (xcomp,2) (ccomp,1) (get,1) (root,1) (VBG,1) (let,1) (dobj,1) (make,1) (mix,1) 
one/NN	(NN,1) (im,1) (VBP,1) (root,1) (one,1) (dobj,1) 
rememner/VBP	(but,1) (CC,1) (cc,1) (NN,1) (acl:relcl,1) (VBP,2) (conj,1) (root,1) (part,1) (rememner,1) (dont,1) 
half/PDT	(NN,2) (PDT,1) (half,1) (im,1) (VBP,1) (one,1) (acl,1) (VB,1) (dep,1) (advmod,1) (hour,1) (root,1) (finish,1) (dobj,1) 
caused/VBN	(VBN,1) (caused,1) (root,1) 
want/VBP	(VBP,1) (want,1) (root,1) 
forguet/VB	(ccomp,3) (VBP,1) (root,1) (makes,1) (VBD,1) (forguet,1) (VB,1) (heard,1) (doesnt,1) (VBZ,1) 
uhm/RB	(RB,1) (advmod,1) (root,1) (was,1) (VBD,1) (uhm,1) 
rest/VBP	(but,1) (CC,1) (cc,1) (NN,1) (acl:relcl,1) (rest,1) (VBP,2) (conj,1) (root,1) (part,1) (dont,1) 
blogger/NN	(NN,1) (nmod:at,1) (NNS,1) (blogs,1) (writing,1) (root,1) (blogger,1) (VBG,1) (dobj,1) 
fish/NN	(listening,1) (NN,2) (aphex,1) (conj:and,1) (VB,4) (compound,1) (xcomp,2) (ccomp,1) (get,1) (root,1) (fish,1) (VBG,1) (let,1) (dobj,1) (make,1) (mix,1) 
choking/VBG	(VBP,1) (root,1) (VBG,1) (Do,1) (choking,1) (dep,1) 
officially/RB	(RB,2) (advmod,2) (writing,1) (root,1) (only,1) (VBG,1) (officially,1) 
gringos/NNS	(NN,1) (NNS,1) (nmod:of,1) (root,1) (bunch,1) (dobj,1) (scks,1) (gringos,1) (VBZ,1) 
when/WRB	(advmod,1) (NNS,1) (are,1) (VBP,1) (cop,1) (WRB,1) (root,1) (ones,1) (when,1) 
invite/VB	(root,1) (parataxis,1) (invite,1) (VB,1) (tracks,1) (VBZ,1) 
tries/VBZ	(tries,1) (root,1) (VBZ,1) 
brick/NN	(NN,2) (VBP,1) (mean,1) (root,1) (brick,1) (dobj,1) (house,1) (compound,1) 
set/VBN	(NN,1) (acl:relcl,1) (Company,1) (set,1) (VBN,1) (root,1) 
CD/NNP	(CD,1) (NNP,1) (VBN,1) (root,1) (auxpass,1) (filled,1) ('s,1) (nsubj,1) (VBZ,1) 
unformatted/NN	(NN,1) (root,1) (comes,1) (dobj,1) (unformatted,1) (VBZ,1) 
quiero/NN	(NN,1) (ccomp,1) (VBP,2) (yo,1) (root,1) (quiero,1) (unirme,1) (nsubj,1) 
costa/NN	(NN,1) (de,1) (NNP,1) (costa,1) (VBP,1) (root,1) (parque,1) (nsubj,1) (compound,1) 
home/NN	(NN,1) (root,1) (VBD,1) (nsubj,1) (got,1) (home,1) 
where/WRB	(but,1) (CC,1) (cc,1) (NN,1) (acl:relcl,1) (rest,1) (VBP,2) (conj,1) (WRB,1) (part,1) (advmod,1) (root,1) (where,1) (dont,1) 
much/JJ	(NN,1) (JJ,1) (cop,1) (root,1) (is,1) (thing,1) (much,1) (xcomp,1) (VBZ,1) 
DAMN/NNP	(NN,1) (DAMN,1) (NNP,1) (told,1) (root,1) (me,1) (baby,1) (VBD,1) (dobj,1) (dep,2) (PRP,1) 
nuestro/JJ	(NN,3) (acl:relcl,1) (JJ,1) (construccion,1) (afueras,1) (nuestro,1) (ustedes,1) (amod,1) (suyo,1) (appos,1) (VBZ,2) (root,1) (volviendo,1) (nsubj,1) (dobj,1) 
death/NN	(NN,1) (torture,1) (ccomp,1) (death,1) (root,1) (VBD,2) (received,1) (VB,1) (dobj,1) (got,1) (dep,1) 
priest/NN	(NN,1) (root,1) (priest,1) (parataxis,1) (invite,1) (VB,1) (dobj,1) (tracks,1) (VBZ,1) 
that/IN	(that,1) (IN,1) (root,1) (says,1) (mark,1) (VBZ,1) 
said/VBD	(root,1) (VBD,2) (said,1) (got,1) (dep,1) 
pay/VB	(root,1) (pay,1) (VB,1) 
no/DT	(NN,1) (DT,1) (no,1) (neg,1) (root,1) (was,1) (VBD,1) (resolution,1) (dep,1) 
human/NN	(NN,3) (think,1) (nmod:in,1) (VBP,1) (root,1) (hypocrisy,1) (dobj,1) (human,1) (dep,1) (combination,1) 
part/NN	(but,1) (CC,1) (cc,1) (NN,1) (VBP,1) (conj,1) (root,1) (part,1) (dont,1) 
LOOKS/NNP	(LOOKS,1) (NNP,2) (root,1) (UGLY,1) (dobj,1) (says,1) (compound,1) (VBZ,1) 
el/NN	(NN,2) (el,1) (escaleras,1) (ustedes,1) (al,1) (compound,1) (VBZ,2) (NNS,1) (ccomp,1) (root,1) (nmod:en,1) (pacuare,1) (dobj,1) 
forests/NNS	(NNS,1) (root,1) (VBD,1) (nmod:to,1) (forests,1) (migrate,1) 
sells/VBZ	(found,1) (ccomp,1) (sells,1) (root,1) (VBD,1) (VBZ,1) 
time/NN	(NN,1) (VBN,1) (read,1) (nmod:in,1) (VBP,1) (learned,1) (root,1) (advcl,1) (time,1) (VB,1) (xcomp,1) (bye,1) 
9/CD	(CD,1) (NNS,1) (nummod,1) (Tell,1) (root,1) (-RRB-,1) (9,1) (VB,1) (nsubj,1) 
Im/NNP	(JJ,1) (NN,1) (sure,1) (im,1) (Im,1) (VBP,1) (work,1) (VB,1) (compound,1) (xcomp,1) (planning,1) (NNP,1) (ccomp,1) (root,1) (dobj,1) 
wrote/VBD	(wrote,1) (root,1) (VBD,1) 
these/DT	(these,1) (DT,1) (NNS,1) (det,1) (root,1) (VBD,1) (nmod:to,1) (forests,1) (migrate,1) 
parents/NNS	(NNP,1) (NNS,1) (nmod:with,1) (root,1) (Policeman,1) (VBG,1) (acl,1) (sitting,1) (parents,1) 
pretty/RB	(NN,1) (JJ,1) (RB,1) (advmod,1) (pretty,1) (root,1) (cool,1) (man,1) (amod,1) 
ok/VB	(root,1) (ok,1) (VB,1) 
run/VBP	(See,1) (see,1) (ccomp,1) (VBP,1) (root,1) (run,1) (VB,2) (dep,1) 
Oooh/JJ	(NN,1) (JJ,1) (root,1) (man,1) (Oooh,1) (amod,1) 
blog/NN	(NN,1) (root,1) (blog,1) 
cleric/JJ	(JJ,1) (NNP,1) (cleric,1) (VBN,1) (caused,1) (root,1) (Sadr,1) (nmod:agent,1) (amod,1) 
since/IN	(NN,2) (IN,1) (root,1) (advcl,1) (mark,1) (objective,1) (opinion,1) (since,1) 
We/PRP	(VBP,1) (root,1) (know,1) (nsubj,1) (We,1) (PRP,1) 
night/NN	(NN,1) (night,1) (root,1) 
calls/NNS	(NN,1) (acl:relcl,1) (Company,1) (NNS,1) (set,1) (VBN,1) (rejecting,1) (calls,1) (root,1) (VBG,1) (advcl,1) (dobj,1) 
These/DT	(NN,1) (DT,1) (det,1) (These,1) (root,1) (discrimination,1) (nsubj,1) (irritates,1) (VBZ,1) 
after/IN	(NN,1) (acl:relcl,1) (Company,1) (set,1) (VBN,1) (rejecting,1) (IN,1) (root,1) (VBG,1) (advcl,1) (after,1) (mark,1) 
Do/VBP	(VBP,1) (root,1) (Do,1) 
rule/NN	(NN,1) (give,1) (VBP,1) (rule,1) (conj:and,1) (VB,1) (dep,1) (xcomp,1) (getting,1) (act,1) (trying,1) (root,1) (nmod:to,1) (VBG,2) 
talk/NN	(NN,1) (root,1) (lets,1) (talk,1) (nsubj,1) (VBZ,1) 
blablabla/NN	(NN,1) (wan,1) (VBP,1) (root,1) (nmod:to,1) (talk,1) (VB,1) (xcomp,1) (blablabla,1) 
now/RB	(RB,1) (advmod,1) (root,1) (now,1) (ok,1) (VB,1) 
making/VBG	(NN,1) (acl:relcl,1) (making,1) (root,1) (VBG,1) (thing,1) 
die/VB	(die,1) (told,1) (going,1) (root,1) (VBD,1) (VBG,1) (conj:and,1) (VB,1) (xcomp,1) 
sat/VBD	(root,1) (sat,1) (VBD,2) (got,1) (dep,1) 
las/NN	(NN,1) (NNS,1) (ccomp,1) (root,1) (escaleras,1) (ustedes,1) (al,1) (dobj,1) (compound,1) (VBZ,2) (las,1) 
ove/NN	(NN,2) (root,1) (VBD,1) (had,1) (dobj,1) (compound,1) (ve,1) (ove,1) 
su/NN	(NN,1) (de,1) (NNP,1) (su,1) (VBP,1) (root,1) (parque,1) (nsubj,1) (compound,1) 
living/VBG	(but,1) (CC,1) (cc,1) (NN,2) (acl:relcl,1) (living,1) (VBP,2) (conj,1) (part,1) (rememner,1) (amod,1) (room,1) (ccomp,1) (root,1) (VBG,1) (dont,1) 
it/PRP	(VBP,1) (root,1) (it,1) (nsubj,1) (doesnt,1) (PRP,1) 
explanation/NN	(NN,1) (move,1) (root,1) (nmod:because,1) (conj:and,1) (VB,1) (explanation,1) (says,1) (VBZ,1) 
disposed/VBD	(root,1) (VBD,2) (disposed,1) (got,1) (dep,1) 
makes/VBZ	(ccomp,2) (VBP,1) (root,1) (makes,1) (VBD,1) (heard,1) (doesnt,1) (VBZ,1) 
cream/NN	(NN,1) (ate,1) (root,1) (VBD,2) (cream,1) (dobj,1) (got,1) (dep,1) 
talking/VBG	(VBN,1) (root,1) (VBG,1) (advcl,1) (talking,1) (scared,1) 
of/IN	(VBP,1) (IN,1) (root,1) (of,1) (know,1) (nsubj,1) (you,1) (case,1) (PRP,1) 
million/CD	(persons,1) (CD,1) (NNS,2) (million,1) (nummod,1) (root,1) (ones,1) (conj:and,1) 
joints/NNS	(NN,1) (acl:relcl,1) (NNS,1) (VBN,1) (im,1) (sanded,1) (VBP,1) (joints,1) (root,1) (one,1) (dobj,2) 
come/VBP	(discovered,1) (VBP,1) (root,1) (VBD,1) (come,1) (advcl,1) 
'm/VBP	(VBN,1) (VBP,1) ('m,1) (root,1) (auxpass,1) (scared,1) 
In/IN	(NNP,1) (nmod:in,1) (In,1) (IN,1) (root,1) (America,1) (VBD,1) (case,1) (migrate,1) 
Aphex/NNP	(CD,1) (NNP,2) (VBN,1) (Aphex,1) (root,1) (auxpass,1) (filled,1) ('s,1) (nsubj,1) (compound,1) (VBZ,1) 
them/PRP	(discovered,1) (root,1) (VBD,1) (them,1) (dobj,1) (PRP,1) 
lor/NN	(NN,1) (root,1) (sat,1) (VBD,2) (dobj,1) (got,1) (dep,1) (lor,1) 
think/VBP	(think,1) (VBP,1) (root,1) 
on/RP	(NNP,1) (compound:prt,1) (root,1) (Policeman,1) (VBG,1) (acl,1) (sitting,1) (RP,1) (on,1) 
STILL/NNP	(STILL,1) (NNP,2) (root,1) (UGLY,1) (dobj,1) (says,1) (compound,1) (VBZ,1) 
o./NNP	(JJ,1) (screwed,1) (VBN,1) (nmod,1) (VB,1) (compound,1) (dep,1) (O,1) (NNP,2) (ccomp,1) (yea,1) (root,1) (little,1) (o.,1) 
's/POS	(MP3,1) (NNP,1) (VBN,1) (POS,1) (root,1) (filled,1) (nmod:'s,1) ('s,1) (case,1) 
school/NN	(NN,1) (wan,1) (VBP,1) (school,1) (root,1) (go,1) (nmod:to,1) (VB,1) (xcomp,1) 
smoking/NN	(NN,1) (ccomp,2) (VBP,1) (root,1) (smoking,1) (makes,1) (VBD,1) (nsubj,1) (heard,1) (doesnt,1) (VBZ,1) 
though/IN	(NN,1) (though,1) (cop,1) (IN,1) (root,1) (is,1) (thing,1) (mark,1) (VBZ,1) 
magazine/NN	(NN,1) (NNP,1) (root,1) (Policeman,1) (reading,1) (VBG,2) (acl,1) (conj:and,1) (magazine,1) (dobj,1) (sitting,1) 
sorta/RB	(RB,1) (advmod,1) (walked,1) (root,1) (VBD,1) (sorta,1) 
give/VBP	(give,1) (VBP,1) (root,1) 
com/NN	(com,1) (NN,1) (im,1) (VBP,1) (root,1) (nsubj,1) 
me/PRP	(told,1) (root,1) (me,1) (VBD,1) (dobj,1) (PRP,1) 
known/VBN	(VBN,1) (known,1) (VBP,1) (root,1) (shouldve,1) (dep,1) 
tourism/NN	(NN,1) (VBN,1) (invert,1) (root,1) (tourism,1) (nmod:on,1) 
image/NN	(NN,1) (image,1) (root,1) 
who/WP	(NN,1) (Company,1) (ref,1) (root,1) (WP,1) (who,1) 
situation/NN	(NN,1) (root,1) (creating,1) (VBG,1) (dobj,1) (irritates,1) (dep,1) (situation,1) (VBZ,1) 
dies/VBZ	(give,1) (VBP,1) (root,1) (advcl,1) (dies,1) (VBZ,1) 
guitar/NN	(NN,1) (get,1) (root,1) (VB,1) (dobj,1) (guitar,1) 
construccion/NN	(NN,3) (acl:relcl,1) (construccion,1) (afueras,1) (root,1) (ustedes,1) (volviendo,1) (nsubj,1) (dobj,1) (suyo,1) (appos,1) (VBZ,2) 
using/VBG	(using,1) (im,1) (VBP,1) (root,1) (VBG,1) (parataxis,1) 
diversiones/NNS	(NNS,1) (VBP,1) (root,1) (diversiones,1) (parque,1) (dobj,1) 
bored/JJ	(JJ,1) (root,1) (VBD,1) (got,1) (bored,1) (xcomp,1) 
TO/TO	(root,1) (ME,1) (parataxis,1) (TO,2) (VB,1) (says,1) (mark,1) (VBZ,1) 
factories/NNS	(NNS,1) (VBP,1) (nmod:about,1) (root,1) (know,1) (factories,1) 
can/MD	(can,1) (ccomp,1) (VBP,1) (aux,1) (root,1) (MD,1) (know,1) (say,1) (VB,1) 
dont/VBP	(VBP,1) (root,1) (dont,1) 
3meters/JJ	(NN,1) (small,1) (JJ,2) (tv,1) (had,1) (amod,2) (compound,1) (couches,1) (NNS,2) (root,1) (VBD,1) (squared,1) (nmod:like,1) (dobj,1) (3meters,1) 
ustedes/VBZ	(root,1) (ustedes,1) (VBZ,1) 
dont/VBN	(FW,1) (VBN,1) (VBP,1) (root,1) (know,1) (i,1) (acl,1) (nsubj,1) (dont,1) 
divorce/NN	(getting,1) (NN,1) (give,1) (VBP,1) (root,1) (divorce,1) (VBG,1) (conj:and,1) (dobj,1) 
un/NN	(NN,5) (acl:relcl,1) (construccion,1) (afueras,1) (ustedes,1) (compound,1) (suyo,1) (appos,2) (VBZ,2) (caballito,1) (root,1) (un,1) (volviendo,1) (nsubj,1) (dobj,1) 
MP3/NNP	(MP3,1) (NNP,1) (VBN,1) (root,1) (filled,1) (nmod:'s,1) 
lol/NNP	(NNP,2) (root,1) (lol,1) (wont,1) (parataxis,1) (invite,1) (VB,1) (nsubj,1) (compound,1) (tracks,1) (VBZ,1) 
station/NN	(NN,2) (nmod:at,1) (VBN,1) (looked,1) (root,1) (station,1) (VBD,1) (acl,1) (nsubj,1) (got,1) (home,1) 
or/CC	(CC,1) (cc,1) (NNS,1) (or,1) (rangers,1) (root,1) 
better/JJR	(NN,1) (better,1) (JJR,1) (im,1) (VBP,1) (root,1) (one,1) (dobj,1) (amod,1) 
there/EX	(expl,1) (EX,1) (root,1) (there,1) (was,1) (VBD,1) 
about/IN	(VBP,1) (IN,1) (root,1) (about,1) (it,1) (nsubj,1) (case,1) (doesnt,1) (PRP,1) 
this/DT	(NN,1) (DT,1) (root,1) (this,1) (blog,1) (nsubj,1) 
little/JJ	(JJ,1) (screwed,1) (VBN,1) (ccomp,1) (yea,1) (root,1) (nmod,1) (VB,1) (little,1) 
act/VB	(getting,1) (give,1) (act,1) (VBP,1) (trying,1) (root,1) (VBG,2) (conj:and,1) (VB,1) (dep,1) (xcomp,1) 
rica/NN	(rica,1) (NN,1) (de,1) (NNP,1) (VBP,1) (root,1) (parque,1) (nsubj,1) (compound,1) 
writing/VBG	(writing,1) (root,1) (VBG,1) 
be/VB	(NN,1) (be,1) (cop,1) (root,1) (blog,1) (VB,1) 
media/NNS	(NNS,1) (root,1) (media,1) 
combination/NN	(NN,2) (think,1) (VBP,1) (root,1) (hypocrisy,1) (dobj,1) (dep,1) (combination,1) 
piece/NN	(NN,1) (piece,1) (root,1) (was,1) (VBD,1) (nsubj,1) 
na/TO	(na,1) (wan,1) (VBP,1) (root,1) (go,1) (TO,1) (VB,1) (xcomp,1) (mark,1) 
sez/VBP	(NN,1) (acl:relcl,1) (VBP,2) (aux,1) (root,1) (sez,1) (do,1) (VB,1) (dobj,1) (heart,1) (care,1) 
heck/NN	(NN,1) (estebitan,1) (what,1) (VBP,1) (heck,1) (root,1) (WP,1) (nsubj,1) (dep,1) 
pero/NN	(NN,1) (VBP,1) (yo,1) (pero,1) (root,1) (nsubj,1) 
learned/VBN	(VBN,1) (VBP,1) (learned,1) (root,1) (advcl,1) (bye,1) 
so/CC	(CC,1) (cc,1) (walked,1) (root,1) (VBD,1) (so,1) 
militant/JJ	(JJ,1) (NNP,1) (VBN,1) (caused,1) (root,1) (Sadr,1) (militant,1) (nmod:agent,1) (amod,1) 
their/PRP$	(NN,1) (PRP$,1) (nmod:poss,1) (root,1) (pay,1) (their,1) (VB,1) (nmod:for,1) (food,1) 
gramps/NNS	(NNS,1) (nmod:with,1) (root,1) (sat,1) (VBD,2) (got,1) (gramps,1) (dep,1) 
house/NN	(NN,1) (VBP,1) (mean,1) (root,1) (dobj,1) (house,1) 
heart/NN	(NN,1) (VBP,1) (aux,1) (root,1) (do,1) (VB,1) (dobj,1) (heart,1) (care,1) 
thoughts/NNS	(thoughts,1) (NNS,1) (writing,1) (root,1) (VBG,1) (dobj,1) 
thing/NN	(NN,1) (root,1) (thing,1) 
food/NN	(NN,1) (root,1) (pay,1) (VB,1) (nmod:for,1) (food,1) 
used/VBD	(root,1) (VBD,2) (used,1) (got,1) (dep,1) 
This/DT	(DT,1) (VBN,1) (nsubjpass,1) (caused,1) (root,1) (This,1) 
grey/JJ	(JJ,1) (NNS,1) (root,1) (VBD,1) (had,1) (dobj,1) (compound,1) (couches,1) (grey,1) 
latinos/NNS	(NN,1) (NNS,1) (latinos,1) (root,1) (nmod:to,1) (discrimination,1) (nsubj,1) (irritates,1) (VBZ,1) 
blame/VB	(FW,1) (VBN,1) (ccomp,1) (VBP,1) (root,1) (blame,1) (know,1) (i,1) (acl,1) (nsubj,1) (VB,1) (dont,1) 
png/RB	(NN,1) (RB,1) (image,1) (advmod,1) (root,1) (png,1) 
repaired/JJ	(NN,2) (JJ,1) (nmod:at,1) (VBN,1) (looked,1) (acl,1) (amod,1) (got,1) (repaired,1) (home,1) (root,1) (station,1) (VBD,1) (nsubj,1) 
prices/NNS	(NNS,1) (root,1) (pay,1) (VB,1) (prices,1) (dobj,1) 
single/JJ	(NN,1) (single,1) (JJ,1) (root,1) (VBD,1) (had,1) (carving,1) (nsubj,1) (amod,1) 
okei/NNS	(NNS,1) (okei,1) (root,1) 
bye/NN	(NN,1) (VBP,1) (root,1) (nsubj,1) (bye,2) 
sitting/VBG	(NNP,1) (root,1) (Policeman,1) (VBG,1) (acl,1) (sitting,1) 
pueden/JJ	(JJ,1) (NNS,1) (pueden,1) (root,1) (ustedes,1) (detras,1) (dobj,1) (amod,1) (VBZ,1) 
finish/VB	(NN,1) (im,1) (VBP,1) (root,1) (one,1) (finish,1) (acl,1) (dobj,1) (VB,1) 
colored/VBN	(NN,1) (VBN,1) (VBP,1) (mean,1) (root,1) (colored,1) (dobj,1) (amod,1) (house,1) 
straight/JJ	(NN,1) (straight,1) (JJ,1) (root,1) (amod,1) (thing,1) 
detras/NNS	(NNS,1) (root,1) (ustedes,1) (detras,1) (dobj,1) (VBZ,1) 
say/VB	(ccomp,1) (VBP,1) (root,1) (know,1) (say,1) (VB,1) 
genercion/NN	(NN,1) (unificar,1) (VBP,1) (root,1) (genercion,1) (dobj,1) 
if/IN	(IN,1) (root,1) (VBD,1) (got,1) (if,1) (mark,1) 
creating/VBG	(root,1) (creating,1) (VBG,1) (irritates,1) (dep,1) (VBZ,1) 
society/NN	(NN,2) (give,1) (VBP,1) (nmod:of,1) (rule,1) (conj:and,1) (VB,1) (dep,1) (xcomp,1) (getting,1) (society,1) (act,1) (trying,1) (root,1) (nmod:to,1) (VBG,2) 
cleaned/VBD	(root,1) (VBD,2) (cleaned,1) (got,1) (dep,1) 
unless/IN	(told,1) (going,1) (unless,1) (IN,1) (root,1) (VBD,1) (VBG,1) (conj:and,1) (mark,1) 
unirme/VBP	(ccomp,1) (VBP,2) (yo,1) (root,1) (unirme,1) 
bread/NN	(NN,1) (bread,1) (ate,1) (root,1) (VBD,2) (dobj,1) (got,1) (dep,1) 
that/DT	(DT,1) (that,1) (ccomp,1) (VBP,1) (root,1) (know,1) 
those/DT	(DT,2) (ccomp,1) (VBP,1) (nmod:of,1) (root,1) (know,1) (say,1) (VB,1) (nsubj,1) (any,1) (those,1) 
Viva/UH	(remembered,1) (UH,1) (VBP,1) (Viva,1) (root,1) (VBD,1) (xcomp,1) (bye,1) (discourse,1) 
dangerous/JJ	(NN,1) (acl:relcl,1) (JJ,1) (Company,1) (NNS,1) (set,1) (VBN,1) (plants,1) (root,1) (dangerous,1) (dobj,1) (amod,1) 
pense/NN	(NN,2) (q,1) (pense,1) (unificar,1) (VBP,1) (root,1) (nmod:en,1) (nsubj,1) 
even/RB	(RB,1) (advmod,1) (even,1) (root,1) (VBD,1) (got,1) 
Moqtada/NNP	(NNP,2) (Moqtada,1) (VBN,1) (caused,1) (root,1) (Sadr,1) (nmod:agent,1) (compound,1) 
family/NN	(NN,3) (give,1) (VBP,1) (work,1) (root,1) (nsubj,1) (family,1) (compound,2) (doesnt,1) 
decidi/JJ	(NN,1) (JJ,1) (VBP,1) (yo,1) (root,1) (unirme,1) (dobj,1) (amod,1) (decidi,1) 
sanded/VBN	(NN,1) (acl:relcl,1) (VBN,1) (im,1) (sanded,1) (VBP,1) (root,1) (one,1) (dobj,1) 
study/VBP	(study,1) (VBP,2) (IN,1) (root,1) (parataxis,2) (^,1) (off,1) 
heard/VBD	(ccomp,1) (VBP,1) (root,1) (VBD,1) (heard,1) (doesnt,1) 
only/RB	(RB,1) (advmod,1) (writing,1) (root,1) (only,1) (VBG,1) 
English/JJ	(JJ,1) (study,1) (?!,1) (VBP,2) (IN,1) (parataxis,2) (nmod:for,1) (amod,1) (off,1) (English,1) (NNS,1) (root,1) (^,1) 
put/VBD	(root,1) (VBD,2) (conj:and,1) (got,1) (put,1) 
sez/NN	(NN,1) (root,1) (sez,1) (parataxis,1) (tracks,1) (VBZ,1) 
paintings/NNS	(NNS,1) (VBP,1) (mean,1) (paintings,1) (root,1) (dobj,1) 
picture/NN	(NN,1) (move,1) (root,1) (conj:and,1) (VB,1) (dobj,1) (says,1) (picture,1) (VBZ,1) 
your/PRP$	(NN,1) (move,1) (PRP$,1) (nmod:poss,1) (root,1) (conj:and,1) (your,1) (VB,1) (dobj,1) (says,1) (picture,1) (VBZ,1) 
row/NN	(NN,2) (NNP,1) (nmod:in,1) (root,1) (Policeman,1) (VBG,1) (acl,1) (policemen,1) (row,1) (dobj,1) (sitting,1) 
ME/NNP	(study,1) (?!,1) (VBP,2) (IN,1) (parataxis,2) (nmod:for,1) (compound,1) (off,1) (NNP,1) (NNS,1) (root,1) (ME,1) (^,1) 
afueras/VBZ	(NN,2) (acl:relcl,1) (afueras,1) (root,1) (ustedes,1) (volviendo,1) (nsubj,1) (suyo,1) (appos,1) (VBZ,2) 
:@/NNP	(NNP,1) (:@,1) (root,1) (nsubj,1) (says,1) (VBZ,1) 
