returns/VBZ	(root,1) (returns,1) (VBZ,1) 
much/JJ	(NN,1) (JJ,1) (root,1) (makes,1) (nmod:during,1) (time,1) (amod,1) (much,1) (VBZ,1) 
E-M-A-I/NN	(NN,1) (brought,1) (VBN,1) (root,1) (nmod:agent,1) (E-M-A-I,1) 
that/IN	(that,1) (IN,1) (root,1) (chose,1) (VBD,1) (mark,1) 
frontal/JJ	(JJ,2) (frontal,1) (NNS,1) (bringing,1) (systems,1) (responsible,1) (root,1) (VBG,1) (advcl,1) (dobj,1) (amod,1) 
collection/NN	(NN,1) (nmod:about,1) (root,1) (VBG,1) (collection,1) (thinking,1) 
no/DT	(NN,1) (DT,1) (no,1) (neg,1) (idea,1) (root,1) (have,1) (VB,1) (dobj,1) 
CD/NN	(NN,3) (acl:relcl,1) (CD,1) (nmod:of,1) (anyone,1) (root,1) (opens,1) (has,1) (dobj,2) (case,1) (VBZ,2) 
knighthood/NN	(NN,1) (VBN,1) (ccomp,1) (VBP,1) (root,1) (received,1) (knighthood,1) (dobj,1) (urlLink,1) 
Ludwig/NNP	(NN,1) (NNP,2) (Planck,1) (root,1) (Ludwig,1) (compound,1) (urlLink,1) (dep,1) 
G5/NNP	(NN,1) (most,1) (nmod:as,1) (NNP,1) (JJS,1) (NNS,1) (nmod:of,2) (root,1) (blog,1) (pictures,1) (G5,1) 
Monthly/RB	(RB,1) (advmod,1) (Monthly,1) (VBP,1) (get,1) (root,1) 
time/NN	(NN,1) (root,1) (makes,1) (nmod:during,1) (time,1) (VBZ,1) 
case/NN	(NN,2) (acl:relcl,1) (anyone,1) (root,1) (opens,1) (has,1) (dobj,2) (case,1) (VBZ,2) 
basketball/NN	(NN,1) (NNP,1) (basketball,1) (Garnett,1) (root,1) (appos,1) 
blog/NN	(NN,1) (root,1) (blog,1) 
play/VB	(BUT,1) (JJ,1) (acl:relcl,1) (play,1) (VBP,1) (started,1) (agaisnt,1) (VB,1) (dep,1) (xcomp,1) (NNS,1) (ccomp,2) (nmod:in,1) (root,1) (won,1) (creating,1) (VBD,2) (VBG,1) (conditions,1) 
computers/NNS	(NNS,1) (VBN,1) (root,1) (programmed,1) (dobj,1) (computers,1) 
glass/NN	(NN,3) (glass,1) (week,1) (root,1) (starts,1) (dobj,1) (compound,1) (dep,1) (VBZ,1) (tower,1) 
Do/VBP	(CD,1) (3,1) (VBP,2) (root,1) (parataxis,1) (Do,1) (no.,1) (dep,1) 
Sunday/NNP	(NNP,1) (VBP,1) (Sunday,1) (root,1) (match,1) (nmod:on,1) 
nation/NN	(NN,1) (NNS,1) (VBN,1) (nmod:in,1) (cities,1) (nation,1) (nmod:across,1) (root,1) (planned,1) 
optical/JJ	(NN,1) (JJ,1) (VBP,1) (nmod:with,1) (root,1) (amod,1) (device,1) (observe,1) (optical,1) 
founders/NNS	(NNS,1) (root,1) (have,1) (founders,1) (VB,1) (nsubj,1) 
tempted/JJ	(NN,1) (JJ,1) (root,1) (ummm,1) (appos,1) (tempted,1) 
now/RB	(NN,1) (RB,1) (advmod,1) (league,1) (root,1) (now,1) 
L/NNP	(NNP,2) (brought,1) (VBN,2) (root,1) (pledged,1) (Gerrard,1) (conj:and,1) (nsubj,1) (L,1) (compound,1) 
living/VBG	(NN,1) (NNS,1) (VBN,1) (nmod:in,1) (living,1) (cities,1) (nation,1) (nmod:across,1) (root,1) (VBG,1) (planned,1) (dep,1) 
Bushisms/NNP	(NN,2) (entry,1) (NNP,1) (nmod:in,1) (nmod:of,1) (catalog,1) (Bushisms,1) (root,1) 
possible/JJ	(JJ,2) (root,1) (safe,1) (advcl,1) (possible,1) 
it/PRP	(root,1) (have,1) (it,1) (nsubj:xsubj,1) (VB,1) (PRP,1) 
template/NN	(JJ,2) (template,1) (NN,1) (similar,1) (root,1) (conj:and,1) (nsubj,1) (nice,1) 
future/NN	(NN,1) (brought,1) (VBN,2) (future,1) (root,1) (pledged,1) (conj:and,1) (dobj,1) 
makes/VBZ	(root,1) (makes,1) (VBZ,1) 
whilst/VBZ	(JJ,1) (similar,1) (root,1) (conj:and,1) (whilst,1) (VBZ,1) 
In/IN	(NN,1) (In,1) (IN,1) (league,1) (root,1) (case,1) 
'm/VBP	(ccomp,1) (IN,1) (VBP,1) (cop,1) ('m,1) (root,1) (came,1) (VBD,1) (off,1) 
St/NNP	(NN,2) (NNP,2) (St,1) (nmod:poss,1) (George,1) (root,1) (day,1) (compound,2) (urlLink,1) 
without/IN	(JJ,1) (sure,1) (waiting,1) (IN,1) (root,1) (VBG,1) (dep,1) (without,1) (mark,1) 
think/VBP	(think,1) (VBP,1) (root,1) 
wide/JJ	(NN,1) (JJ,1) (NNP,1) (wide,1) (web,1) (nmod:of,1) (root,1) (father,1) (has,1) (nsubj,1) (amod,1) (VBZ,1) 
whole/JJ	(NN,2) (JJ,1) (root,1) (unbeaten,1) (whole,1) (amod,1) (urlLink,1) (dep,1) 
's/POS	(JJ,1) (NNP,1) (Apple,1) (POS,1) (root,1) (safe,1) (nsubj,1) ('s,1) (case,1) 
though/IN	(booked,1) (though,1) (IN,1) (Gloucester,1) (root,1) (VBD,1) (advcl,1) (mark,1) (VBZ,1) 
US/NNP	(broken,1) (NNP,1) (NNS,1) (VBN,1) (nmod:in,1) (records,1) (root,1) (dobj,1) (US,1) 
on/RB	(JJ,1) (CC,1) (cc,1) (RB,1) (advmod,1) (and,1) (responsible,1) (root,1) (on,1) 
album/NN	(acl:relcl,1) (NN,1) (CD,1) (nmod:from,1) (2,1) (named,1) (VBP,1) (album,1) (root,1) (VBD,1) (no.,1) (dobj,1) 
com/NN	(com,1) (NN,1) (VBN,1) (VBP,1) (nsubjpass,1) (root,1) (registered,1) (google,1) (dep,1) 
me/PRP	(NN,1) (nmod:of,1) (part,1) (root,1) (me,1) (PRP,1) 
Max/NNP	(NN,1) (NNP,2) (Planck,1) (Max,1) (root,1) (compound,1) (urlLink,1) (dep,1) 
many/RB	(birthday,1) (NN,1) (JJ,1) (RB,1) (advmod,1) (root,1) (happy,1) (returns,1) (nsubj,1) (amod,1) (many,1) (VBZ,1) 
image/NN	(NN,1) (image,1) (hours,1) (NNS,1) (last,1) (root,1) (VB,1) (dobj,1) (nmod:for,1) 
Thompson/NNP	(NN,3) (JJ,1) (BBC,1) (nmod:by,1) (amod,1) (compound,1) (article,1) (nmod:from,1) (NNP,1) (site,1) (extract,1) (root,1) (Thompson,1) 
hope/NN	(NN,2) (game,1) (ccomp,1) (nmod:in,1) (IN,1) (root,1) (nmod:to,1) (VB,1) (hope,1) (Went,1) (out,1) 
using/VBG	(using,1) (root,1) (end,1) (VBG,1) (advcl,1) (VB,1) 
like/VB	(VBP,1) (like,1) (root,1) (advcl,1) (VB,1) (account,1) 
animated/NNP	(JJ,1) (Shrek,1) (NNP,2) (root,1) (animated,1) (nsubj,1) (great,1) (compound,1) 
Well/RB	(RB,1) (advmod,1) (ccomp,1) (IN,1) (root,1) (Well,1) (came,1) (VBD,1) (off,1) 
already/RB	(RB,1) (advmod,1) (already,1) (root,1) (has,1) (VBZ,1) 
club/NN	(NN,1) (brought,1) (VBN,2) (root,1) (pledged,1) (club,1) (nmod:to,1) (conj:and,1) 
overflow/NN	(NN,1) (brought,1) (VBN,1) (overflow,1) (root,1) (auxpass,1) (was,1) (VBD,1) (nsubj,1) 
ogre/NN	(NN,1) (VBN,1) (ccomp,1) (nsubjpass,1) (root,1) (paid,1) (is,1) (VBZ,1) (ogre,1) 
arrhhh/VB	(arrhhh,1) (root,1) (have,1) (VB,2) (dep,1) 
Tihs/NNS	(JJ,1) (NNS,1) (bcuseae,1) (root,1) (Tihs,1) (nsubj,1) 
summer/NN	(NN,2) (month,1) (root,1) (compound,1) (summer,1) 
newspapers/NNS	(NNS,2) (read,1) (root,1) (guys,1) (newspapers,1) (VB,1) (dobj,1) (compound,1) 
Roy/NNP	(NNP,3) (Orbison,1) (VBP,1) (Shakespeare,1) (root,1) (nsubj,1) (Roy,1) (compound,1) (urlLink,1) (appos,1) 
discs/NNS	(sold,1) (NNS,1) (VBN,1) (nsubjpass,1) (root,1) (discs,1) 
or/CC	(JJ,1) (CC,1) (cc,1) (ccomp,1) (or,1) (bad,1) (root,1) (is,1) (VBZ,1) 
better/JJR	(better,1) (VBN,1) (ccomp,1) (JJR,1) (root,1) (chose,1) (VBD,1) (done,1) (xcomp,1) 
80m/CD	(CD,2) (3,1) (VBP,1) (80m,1) (nummod,1) (root,1) (no.,1) (dep,1) 
download/VB	(NN,1) (image,1) (hours,1) (NNS,1) (download,1) (last,1) (root,1) (acl,1) (VB,2) (dobj,1) (nmod:for,1) 
library/NN	(NN,2) (brought,1) (VBN,1) (overflow,1) (library,1) (nmod:in,1) (root,1) (auxpass,1) (was,1) (VBD,1) (nsubj,1) 
posting/VBG	(JJ,1) (csubj,1) (VBP,2) (aux,1) (need,1) (root,1) (safe,1) (have,1) (advcl,1) (VBG,1) (posting,1) 
Windows/NNP	(NNP,1) (NNS,1) (root,1) (machines,1) (Windows,1) (VB,1) (dobj,1) (make,1) (compound,1) 
there/EX	(expl,1) (brought,1) (VBN,1) (EX,1) (root,1) (auxpass,1) (there,1) (was,1) (VBD,1) 
display/VB	(root,1) (display,1) (chose,1) (VBD,1) (VB,1) (xcomp,1) 
this/DT	(NN,1) (DT,1) (det,1) (root,1) (this,1) (urlLink,1) 
stake/NN	(NN,2) (stake,1) (Mate,1) (nmod:in,1) (root,1) (chose,1) (VBD,1) (dobj,1) 
25m/CD	(CD,1) (VBN,1) (ccomp,1) (root,1) (paid,1) (is,1) (25m,1) (dobj,1) (VBZ,1) 
more/UH	(NN,1) (UH,1) (more,1) (root,1) (urlLink,1) (dep,1) 
Schumacher/NNP	(NN,1) (NNP,1) (answer,1) (root,1) (VB,1) (Schumacher,1) (urlLink,1) (dep,1) (iobj,1) 
'/POS	(NN,1) (NNP,1) (nmod:poss,1) (VBP,1) (POS,1) (get,1) (root,1) (',1) (magazine,1) (Gardeners,1) (dobj,1) (case,1) 
extended/VBD	(NN,1) (acl:relcl,1) (rain,1) (Years,1) (years,1) (appos,1) (extended,1) (nmod:without,1) (NNP,1) (NNS,2) (month,1) (root,1) (VBD,1) (nsubj,1) 
discussing/VBG	(NN,1) (DT,1) (entry,1) (discussing,1) (det,1) (root,1) (another,1) (VBG,1) (acl,1) 
heart/NN	(NN,1) (NNS,1) (bleeds,1) (root,1) (have,1) (VB,1) (dobj,1) (compound,1) (heart,1) 
job/NN	(NN,1) (NNS,1) (lost,1) (root,1) (VBD,1) (parataxis,1) (job,1) (dobj,1) (people,1) 
chances/NNS	(NNS,1) (chances,1) (root,1) (creating,1) (VBG,1) (dobj,1) 
sun/NN	(JJ,1) (NN,1) (nmod:between,1) (acl,1) (VB,1) (sun,1) (xcomp,1) (NNP,1) (see,1) (Venus,1) (able,1) (root,1) (VBG,1) (passing,1) (dobj,1) 
Mr/NNP	(JJ,1) (NNP,2) (sure,1) (Mr,1) (root,1) (Hanscom,1) (advcl,1) (agree,1) (VB,1) (nsubj,1) (compound,1) 
Labour/NNP	(JJ,1) (NNP,1) (convinced,1) (root,1) (Labour,1) (nsubj,1) 
reliable/JJ	(NN,1) (JJ,1) (reliable,1) (month,1) (root,1) (amod,1) 
front/NN	(JJ,1) (NN,1) (nsubjpass,1) (responsible,1) (root,1) (front,1) 
Gates/NNP	(JJ,1) (NNP,1) (sure,1) (nmod:with,1) (root,1) (advcl,1) (agree,1) (VB,1) (Gates,1) 
addition/NN	(NN,1) (VBN,1) (nmod:in,1) (root,1) (re-titled,1) (addition,1) 
nice/JJ	(JJ,2) (similar,1) (root,1) (conj:and,1) (nice,1) 
passing/VBG	(JJ,1) (NNP,1) (see,1) (Venus,1) (able,1) (root,1) (VBG,1) (passing,1) (acl,1) (VB,1) (dobj,1) (xcomp,1) 
provides/VBZ	(provides,1) (root,1) (VBZ,1) 
used/VBN	(NN,3) (implements,1) (acl:relcl,1) (brought,1) (VBN,2) (auxpass,1) (was,1) (used,1) (acl,1) (VBZ,1) (overflow,1) (library,1) (nmod:in,1) (notation,1) (root,1) (VBD,1) (nsubj,1) (dobj,1) 
technology/NN	(NN,2) (site,1) (root,1) (technology,1) (compound,1) 
Google/NNP	(Google,1) (NNP,1) (root,1) (VB,1) (dobj,1) (prompt,1) 
Hanscom/NNP	(JJ,1) (NNP,1) (sure,1) (root,1) (Hanscom,1) (advcl,1) (agree,1) (VB,1) (nsubj,1) 
say/VB	(root,1) (say,1) (VB,1) 
Shakespeare/NNP	(NNP,1) (VBP,1) (Shakespeare,1) (root,1) (nsubj,1) (urlLink,1) 
And/CC	(NN,1) (CC,1) (cc,1) (And,1) (root,1) (improvement,1) 
in/RB	(JJ,1) (RB,1) (advmod,1) (3rd,1) (in,1) (root,1) (came,1) (VBD,1) (dobj,1) 
move/NN	(NN,1) (move,1) (VBN,1) (nmod:with,1) (root,1) (linked,1) 
each/DT	(DT,1) (CD,1) (nmod:with,1) (root,1) (VB,1) (1bn,1) (urlLink,1) (each,1) (dep,1) 
Phil/NNP	(JJ,1) (all,1) (DT,1) (NNP,2) (root,1) (Vickery,1) (nmod:for,1) (nsubj,1) (great,1) (compound,1) (Phil,1) 
opens/VBZ	(NN,1) (acl:relcl,1) (anyone,1) (root,1) (opens,1) (has,1) (dobj,1) (VBZ,2) 
other/JJ	(NN,1) (JJ,1) (other,1) (VBP,1) (nmod:with,1) (root,1) (device,1) (compound,1) (observe,1) 
Bed/NNP	(NN,1) (Bed,1) (NNP,1) (VBP,1) (root,1) (Time,1) (nsubj,1) (nmod:for,1) (urlLink,1) 
yesterday/NN	(acl:relcl,1) (NN,2) (CD,1) (named,1) (nmod:poss,1) (VBP,1) (no.,1) (yesterday,1) (2,1) (lyric,1) (root,1) (VBD,1) (dobj,2) 
Re-sizing/NN	(Re-sizing,1) (NN,1) (CD,1) (one,1) (root,1) (nsubj,1) 
over/IN	(NN,1) (over,1) (VBN,1) (ccomp,2) (top,1) (IN,1) (root,1) (is,1) (misunderstood,1) (case,1) (VBZ,1) 
advertising/NN	(NN,2) (include,1) (root,1) (link,1) (advertising,1) (VB,2) (dobj,1) (prompt,1) (compound,1) (xcomp,1) 
photo/NN	(JJ,1) (NN,1) (nmod:with,1) (root,1) (pleased,1) (photo,1) 
mention/VBP	(acl:relcl,1) (NNS,1) (VBP,1) (root,1) (people,1) (mention,1) 
Redmond/NNP	(JJ,1) (NN,1) (James,1) (Redmond,1) (HQ,1) (blog,1) (amod,1) (compound,1) (NNP,3) (convinced,1) (root,1) (VBG,1) (page,1) (nsubj,2) (dobj,1) 
targeting/VBG	(JJ,1) (targeting,1) (be,1) (ccomp,1) (root,1) (safe,1) (VBG,1) (VB,1) (dep,1) 
dear/VBZ	(root,1) (dear,1) (VBZ,1) 
only/RB	(JJ,1) (RB,1) (advmod,1) (VBP,1) (aux,1) (root,1) (safe,1) (have,1) (only,1) 
your/PRP$	(NN,1) (PRP$,1) (nmod:poss,1) (root,1) (your,1) (blog,1) 
Gardeners/NNP	(NN,1) (NNP,1) (nmod:poss,1) (VBP,1) (get,1) (root,1) (magazine,1) (Gardeners,1) (dobj,1) 
correctly/RB	(acl:relcl,1) (RB,1) (CD,1) (correctly,1) (advmod,1) (2,1) (named,1) (VBP,1) (root,1) (VBD,1) (no.,1) (dobj,1) 
row/NN	(NN,1) (VBP,1) (does,1) (root,1) (row,1) (dobj,1) (make,1) (dep,1) (VBZ,1) 
Manchester/NNP	(NN,2) (NNP,1) (week,1) (nmod:in,1) (root,1) (Manchester,1) (starts,1) (dobj,1) (dep,1) (VBZ,1) (tower,1) 
timers/NNS	(timers,1) (NNS,1) (brought,1) (VBN,1) (c,1) (SYM,1) (root,1) (nmod:to,1) (conj:&,1) (you,1) (dep,1) (PRP,1) 
WARNING/NNP	(NNP,1) (VBP,1) (root,1) (nsubj,1) (WARNING,1) (observe,1) 
Steven/NNP	(NNP,2) (brought,1) (VBN,2) (root,1) (pledged,1) (Gerrard,1) (conj:and,1) (nsubj,1) (compound,1) (Steven,1) 
mean/VB	(mean,1) (root,1) (VB,1) 
equivalent/NN	(NN,1) (equivalent,1) (root,1) (have,1) (VB,1) (dobj,1) 
1993/CD	(NN,1) (nmod:without,1) (rain,1) (NNP,1) (CD,1) (NNS,1) (month,1) (1993,1) (nummod,1) (root,1) (nsubj,1) (years,1) 
behind/IN	(JJ,1) (NN,1) (nmod:behind,1) (behind,1) (sofa,1) (ccomp,1) (convinced,1) (IN,1) (root,1) (VBD,1) (case,1) (breeds,1) 
all/PDT	(all,1) (PDT,1) (brought,1) (VBN,1) (root,1) (nmod:to,1) (you,1) (dep,1) (PRP,1) 
outdoor/JJ	(NN,1) (outdoor,1) (JJ,1) (root,1) (championship,1) (have,1) (VB,1) (dobj,1) (amod,1) 
wo/MD	(JJ,1) (aux,1) (root,1) (MD,1) (wo,1) (parataxis,1) (VB,1) (great,1) (become,1) 
23rd/JJ	(JJ,1) (NNP,1) (VBN,1) (23rd,1) (Born,1) (root,1) (amod,1) (nmod:on,1) (April,1) 
Queen/NNP	(NNP,1) (Queen,1) (root,1) (beat,1) (VBD,1) (nsubj,1) 
named/VBD	(acl:relcl,1) (CD,1) (2,1) (named,1) (VBP,1) (root,1) (VBD,1) (no.,1) (dobj,1) 
off/IN	(ccomp,1) (IN,1) (root,1) (came,1) (VBD,1) (off,1) 
seen/VBN	(NN,1) (VBN,1) (anyone,1) (root,1) (has,1) (acl,1) (dobj,1) (seen,1) (VBZ,1) 
end/VB	(root,1) (end,1) (VB,1) 
11.8/CD	(NNP,1) (CD,2) ($,2) (Garnett,1) (nummod,1) (root,1) (m,1) (11.8,1) (compound,1) (dep,1) 
all/RB	(all,1) (RB,1) (advmod,1) (root,1) (go,1) (VB,1) 
happy/JJ	(birthday,1) (NN,1) (JJ,1) (root,1) (happy,1) (returns,1) (nsubj,1) (amod,1) (VBZ,1) 
holder/NN	(NN,1) (VBN,1) (nmod:into,1) (nmod:of,1) (minutes,1) (holder,1) (acl,1) (VBZ,1) (NNS,2) (converted,1) (root,1) (Watch,1) (dobj,1) (Shrek2,1) 
named/VBN	(NN,1) (acl:relcl,1) (named,1) (VBN,1) (root,1) (makes,1) (nmod:during,1) (time,1) (VBZ,1) 
No/DT	(JJ,1) (NN,1) (DT,1) (No,1) (neg,1) (machine,1) (root,1) (safe,1) (nsubj,1) 
Similar/JJ	(JJ,1) (NNS,1) (VBN,1) (projects,1) (nsubjpass,1) (root,1) (Similar,1) (planned,1) (amod,1) 
do/VB	(root,1) (do,1) (VB,2) (make,1) (xcomp,1) 
than/IN	(advmod,1) (faster,1) (RBR,1) (IN,1) (root,1) (than,1) (loads,1) (VBD,1) (case,1) 
success/NN	(NN,2) (nmod:of,1) (success,1) (root,1) (end,1) (victim,1) (VB,1) (xcomp,1) 
one/CD	(CD,1) (one,1) (root,1) 
turn/VB	(VBN,1) (Hoping,1) (root,1) (programmed,1) (VBG,1) (advcl,1) (turn,1) (VB,1) (xcomp,1) 
difference/NN	(NN,1) (root,1) (difference,1) (is,1) (nsubj,1) (VBZ,1) 
abstract/JJ	(NN,3) (implements,1) (acl:relcl,1) (JJ,1) (brought,1) (VBN,1) (auxpass,1) (was,1) (abstract,1) (amod,1) (VBZ,1) (overflow,1) (library,1) (nmod:in,1) (notation,1) (root,1) (VBD,1) (nsubj,1) (dobj,1) 
Abramovich/NNP	(NNP,2) (VBN,1) (nmod:poss,1) (Abramovich,1) (root,1) (Chelsea,1) (nmod:to,1) (linked,1) 
urlLink/VBP	(VBP,1) (root,1) (urlLink,1) 
read/VBP	(read,1) (ccomp,1) (VBP,1) (root,1) (VBG,1) (thinking,1) 
services/NNS	(NNS,1) (went,1) (root,1) (get,1) (VBD,1) (services,1) (VB,1) (nmod:for,1) (xcomp,1) 
points/NNS	(NNS,1) (root,1) (makes,1) (dobj,1) (VBZ,1) (points,1) 
manages/VBZ	(think,1) (ccomp,1) (VBP,1) (root,1) (manages,1) (VBZ,1) 
how/WRB	(how,1) (advmod,1) (WRB,1) (root,1) (VB,1) (make,1) 
reduced/VBN	(JJ,1) (VBN,1) (VBP,2) (aux,1) (need,1) (root,1) (safe,1) (have,1) (reduced,1) (advcl,1) (xcomp,1) 
many/JJ	(JJ,2) (NN,1) (nmod:with,1) (root,1) (pleased,1) (photo,1) (many,1) (amod,1) 
during/IN	(NN,1) (IN,1) (root,1) (makes,1) (nmod:during,1) (time,1) (during,1) (case,1) (VBZ,1) 
Johann/NNP	(NNP,3) (VBP,1) (Hudde,1) (Shakespeare,1) (root,1) (nsubj,1) (Johann,1) (compound,1) (urlLink,1) (appos,1) 
back/RP	(JJ,1) (sure,1) (compound:prt,1) (waiting,1) (root,1) (back,1) (VBG,1) (VB,1) (dep,1) (hear,1) (xcomp,1) (RP,1) 
BBC/NN	(NN,2) (site,1) (BBC,1) (root,1) (compound,1) 
rivals/NNS	(nmod:than,1) (NNS,2) (JJR,1) (more,1) (root,1) (amod,1) (people,1) (rivals,1) 
authors/NNS	(NN,1) (NNS,1) (root,1) (musings,1) (nsubj,1) (compound,1) (VBZ,1) (opinion,1) (authors,1) 
only/JJ	(NN,1) (JJ,1) (root,1) (only,1) (difference,1) (is,1) (nsubj,1) (amod,1) (VBZ,1) 
brand/NN	(NN,1) (VBP,1) (like,1) (root,1) (advcl,1) (VB,1) (dobj,1) (brand,1) (account,1) 
Tom/NNP	(NN,1) (NNP,2) (nmod:between,1) (Tom,1) (Cruise,1) (root,1) (difference,1) (is,1) (nsubj,1) (compound,1) (VBZ,1) 
1973/CD	(NN,1) (acl:relcl,1) (rain,1) (CD,1) (Years,1) (nmod:into,1) (nummod,1) (2000,1) (years,1) (appos,1) (extended,1) (nmod:without,1) (NNP,1) (NNS,3) (1973,1) (month,1) (root,1) (VBD,1) (nsubj,1) 
been/VBN	(JJ,1) (been,1) (VBN,1) (cop,1) (root,1) (safe,1) 
real/JJ	(NN,2) (acl:relcl,1) (JJ,1) (rebel,1) (ccomp,1) (part,1) (root,1) (wishes,1) (real,1) (amod,1) (VBZ,1) 
users/NNS	(NN,1) (NNS,1) (%,1) (nmod:of,1) (root,1) (have,1) (VB,1) (nsubj,1) (users,1) 
wrong/JJ	(JJ,1) (went,1) (root,1) (VBD,1) (xcomp,1) (wrong,1) 
nasty/JJ	(NN,1) (JJ,1) (sold,1) (surprise,1) (VBN,1) (root,1) (parataxis,1) (amod,1) (nasty,1) 
so/IN	(JJ,1) (sure,1) (VBN,1) (IN,1) (root,1) (VBD,1) (advcl,1) (so,1) (sent,1) (happened,1) (dep,1) (mark,1) 
500,000/CD	(CD,1) (NNS,1) (pages,1) (500,000,1) (nummod,1) (root,1) (have,1) (nmod:to,1) (VB,1) 
bringing/VBG	(JJ,1) (bringing,1) (responsible,1) (root,1) (VBG,1) (advcl,1) 
things/NNS	(NNS,1) (root,1) (things,1) (do,1) (VB,2) (dobj,1) (make,1) (xcomp,1) 
starts/VBZ	(root,1) (starts,1) (VBZ,1) 
furb/NN	(JJ,1) (NN,1) (esp,1) (ccomp,1) (VBP,1) (root,1) (recommend,1) (parataxis,1) (VB,1) (dobj,1) (great,1) (furb,1) 
booked/VBD	(booked,1) (Gloucester,1) (root,1) (VBD,1) (advcl,1) (VBZ,1) 
rain/NNP	(NN,1) (nmod:without,1) (rain,1) (NNP,1) (NNS,1) (month,1) (root,1) (nsubj,1) (years,1) 
urlLink/NN	(NN,1) (root,1) (urlLink,1) 
14m/NNP	(CD,1) (NNP,1) (VBN,1) (ccomp,1) (root,1) (paid,1) (is,1) (25m,1) (14m,1) (dobj,1) (appos,1) (VBZ,1) 
2/CD	(CD,1) (2,1) (VBP,1) (root,1) (no.,1) (dobj,1) 
bleeds/NNS	(NNS,1) (bleeds,1) (root,1) (have,1) (VB,1) (dobj,1) 
again/RB	(JJ,1) (RB,1) (advmod,1) (sure,1) (waiting,1) (load,1) (root,1) (again,1) (VBG,1) (VB,1) (dep,1) (xcomp,1) 
rare/JJ	(NN,1) (JJ,1) (VBN,1) (aux,1) (root,1) (rare,1) (VBD,1) (had,1) (nsubj,1) (amod,1) (linked,1) (cello,1) 
!/UH	(!,1) (UH,1) (root,1) 
billionaire/NN	(NN,2) (billionaire,1) (VBP,1) (does,1) (root,1) (row,1) (dobj,1) (make,1) (compound,1) (dep,1) (VBZ,1) 
but/CC	(but,1) (CC,1) (cc,1) (root,1) (have,1) (VB,1) 
systems/NNS	(JJ,1) (NNS,1) (bringing,1) (systems,1) (responsible,1) (root,1) (VBG,1) (advcl,1) (dobj,1) 
match/VBP	(VBP,1) (root,1) (match,1) 
month/NN	(NN,1) (month,1) (root,1) 
1997/CD	(NN,1) (acl:relcl,1) (rain,1) (CD,1) (Years,1) (nmod:into,1) (nummod,1) (2000,1) (years,1) (appos,1) (extended,1) (nmod:without,1) (NNP,1) (1997,1) (NNS,3) (month,1) (root,1) (VBD,1) (nsubj,1) 
Pilot/NNP	(Pilot,1) (NNP,1) (nmod:from,1) (NNS,1) (nmod:with,1) (root,1) (came,1) (VBD,1) (winnings,1) 
times/NNS	(NNS,2) (times,1) (JJR,1) (nummod,1) (more,1) (root,1) (amod,1) (people,1) 
must/MD	(aux,1) (root,1) (MD,1) (go,1) (must,1) (VB,1) 
Watch/VBZ	(root,1) (Watch,1) (VBZ,1) 
England/NNP	(NN,1) (NNP,1) (nmod:in,1) (root,1) (championship,1) (have,1) (England,1) (VB,1) (dobj,1) 
business/NN	(NN,4) (JJ,2) (BBC,1) (business,1) (amod,2) (nmod:for,1) (compound,1) (good,1) (article,1) (nmod:from,1) (site,1) (extract,1) (root,1) 
BUT/VBP	(BUT,1) (ccomp,1) (VBP,1) (root,1) (won,1) (creating,1) (VBD,1) (VBG,1) (dep,1) 
Years/NNS	(NN,1) (nmod:without,1) (rain,1) (NNP,1) (NNS,2) (Years,1) (month,1) (root,1) (nsubj,1) (years,1) (appos,1) 
Work/NNP	(NNP,1) (root,1) (Work,1) (starts,1) (nsubj,1) (VBZ,1) 
housing/NN	(NN,2) (housing,1) (nmod:of,1) (root,1) (type,1) 
c/SYM	(brought,1) (VBN,1) (c,1) (SYM,1) (root,1) (nmod:to,1) (conj:&,1) (you,1) (PRP,1) 
sounds/VBZ	(NN,1) (sounds,1) (league,1) (root,1) (dep,1) (VBZ,1) 
camera/NN	(NN,2) (VBP,1) (nmod:with,1) (root,1) (camera,1) (device,1) (compound,1) (observe,1) 
Queen/NN	(NN,1) (nmod:from,1) (VBN,1) (ccomp,1) (VBP,1) (Queen,1) (root,1) (received,1) (urlLink,1) 
valid/JJ	(valid,1) (JJ,1) (NNS,1) (root,1) (makes,1) (dobj,1) (amod,1) (VBZ,1) (points,1) 
we/PRP	(VBP,1) (get,1) (root,1) (nsubj,1) (we,1) (PRP,1) 
internet/NN	(NN,2) (NNS,1) (%,1) (nmod:of,1) (root,1) (have,1) (VB,1) (nsubj,1) (compound,1) (users,1) (internet,1) 
faster/RBR	(advmod,1) (faster,1) (RBR,1) (root,1) (loads,1) (VBD,1) 
people/NNS	(NNS,1) (root,1) (people,1) 
converted/VBN	(NNS,2) (VBN,1) (nmod:of,1) (converted,1) (minutes,1) (root,1) (Watch,1) (acl,1) (dobj,1) (Shrek2,1) (VBZ,1) 
are/VBP	(NN,1) (are,1) (VBP,1) (cop,1) (league,1) (root,1) 
Knighthood/NNP	(NNP,1) (root,1) (VBD,1) (deserved,1) (dobj,1) (Knighthood,1) 
Chelsea/NNP	(NNP,1) (VBN,1) (root,1) (Chelsea,1) (nmod:to,1) (linked,1) 
